Date,Right Ascension
2019-Feb-25,23 24 22.14
2019-Feb-26,23 26 51.09
2019-Feb-27,23 29 20.28
2019-Feb-28,23 31 49.74
2019-Mar-01,23 34 19.46
2019-Mar-02,23 36 49.46
2019-Mar-03,23 39 19.74
2019-Mar-04,23 41 50.31
2019-Mar-05,23 44 21.19
2019-Mar-06,23 46 52.37
2019-Mar-07,23 49 23.87
2019-Mar-08,23 51 55.70
2019-Mar-09,23 54 27.87
2019-Mar-10,23 57 00.38
2019-Mar-11,23 59 33.24
2019-Mar-12,00 02 06.47
2019-Mar-13,00 04 40.08
2019-Mar-14,00 07 14.06
2019-Mar-15,00 09 48.44
2019-Mar-16,00 12 23.23
2019-Mar-17,00 14 58.43
2019-Mar-18,00 17 34.05
2019-Mar-19,00 20 10.12
2019-Mar-20,00 22 46.64
2019-Mar-21,00 25 23.63
2019-Mar-22,00 28 01.11
2019-Mar-23,00 30 39.08
2019-Mar-24,00 33 17.55
2019-Mar-25,00 35 56.56
2019-Mar-26,00 38 36.10
2019-Mar-27,00 41 16.20
2019-Mar-28,00 43 56.86
2019-Mar-29,00 46 38.10
2019-Mar-30,00 49 19.93
2019-Mar-31,00 52 02.36
2019-Apr-01,00 54 45.41
2019-Apr-02,00 57 29.09
2019-Apr-03,01 00 13.42
2019-Apr-04,01 02 58.40
2019-Apr-05,01 05 44.04
2019-Apr-06,01 08 30.37
2019-Apr-07,01 11 17.38
2019-Apr-08,01 14 05.11
2019-Apr-09,01 16 53.55
2019-Apr-10,01 19 42.72
2019-Apr-11,01 22 32.63
2019-Apr-12,01 25 23.30
2019-Apr-13,01 28 14.73
2019-Apr-14,01 31 06.96
2019-Apr-15,01 33 59.98
2019-Apr-16,01 36 53.81
2019-Apr-17,01 39 48.47
2019-Apr-18,01 42 43.98
2019-Apr-19,01 45 40.35
2019-Apr-20,01 48 37.60
2019-Apr-21,01 51 35.75
2019-Apr-22,01 54 34.81
2019-Apr-23,01 57 34.79
2019-Apr-24,02 00 35.72
2019-Apr-25,02 03 37.61
2019-Apr-26,02 06 40.47
2019-Apr-27,02 09 44.32
2019-Apr-28,02 12 49.18
2019-Apr-29,02 15 55.05
2019-Apr-30,02 19 01.95
2019-May-01,02 22 09.89
2019-May-02,02 25 18.89
2019-May-03,02 28 28.95
2019-May-04,02 31 40.10
2019-May-05,02 34 52.34
2019-May-06,02 38 05.68
2019-May-07,02 41 20.13
2019-May-08,02 44 35.70
2019-May-09,02 47 52.41
2019-May-10,02 51 10.26
2019-May-11,02 54 29.26
2019-May-12,02 57 49.42
2019-May-13,03 01 10.76
2019-May-14,03 04 33.28
2019-May-15,03 07 56.99
2019-May-16,03 11 21.91
2019-May-17,03 14 48.04
2019-May-18,03 18 15.39
2019-May-19,03 21 43.97
2019-May-20,03 25 13.80
2019-May-21,03 28 44.87
2019-May-22,03 32 17.20
2019-May-23,03 35 50.79
2019-May-24,03 39 25.64
2019-May-25,03 43 01.77
2019-May-26,03 46 39.17
2019-May-27,03 50 17.84
2019-May-28,03 53 57.78
2019-May-29,03 57 39.00
2019-May-30,04 01 21.49
2019-May-31,04 05 05.25
2019-Jun-01,04 08 50.27
2019-Jun-02,04 12 36.55
2019-Jun-03,04 16 24.08
2019-Jun-04,04 20 12.85
2019-Jun-05,04 24 02.86
2019-Jun-06,04 27 54.08
2019-Jun-07,04 31 46.52
2019-Jun-08,04 35 40.15
2019-Jun-09,04 39 34.96
2019-Jun-10,04 43 30.94
2019-Jun-11,04 47 28.08
2019-Jun-12,04 51 26.35
2019-Jun-13,04 55 25.75
2019-Jun-14,04 59 26.25
2019-Jun-15,05 03 27.84
2019-Jun-16,05 07 30.49
2019-Jun-17,05 11 34.20
2019-Jun-18,05 15 38.93
2019-Jun-19,05 19 44.67
2019-Jun-20,05 23 51.40
2019-Jun-21,05 27 59.07
2019-Jun-22,05 32 07.68
2019-Jun-23,05 36 17.20
2019-Jun-24,05 40 27.58
2019-Jun-25,05 44 38.81
2019-Jun-26,05 48 50.85
2019-Jun-27,05 53 03.67
2019-Jun-28,05 57 17.23
2019-Jun-29,06 01 31.50
2019-Jun-30,06 05 46.45
2019-Jul-01,06 10 02.02
2019-Jul-02,06 14 18.19
2019-Jul-03,06 18 34.92
2019-Jul-04,06 22 52.16
2019-Jul-05,06 27 09.87
2019-Jul-06,06 31 28.02
2019-Jul-07,06 35 46.55
2019-Jul-08,06 40 05.43
2019-Jul-09,06 44 24.61
2019-Jul-10,06 48 44.07
2019-Jul-11,06 53 03.75
2019-Jul-12,06 57 23.61
2019-Jul-13,07 01 43.62
2019-Jul-14,07 06 03.74
2019-Jul-15,07 10 23.94
2019-Jul-16,07 14 44.16
2019-Jul-17,07 19 04.39
2019-Jul-18,07 23 24.57
2019-Jul-19,07 27 44.67
2019-Jul-20,07 32 04.66
2019-Jul-21,07 36 24.50
2019-Jul-22,07 40 44.15
2019-Jul-23,07 45 03.58
2019-Jul-24,07 49 22.76
2019-Jul-25,07 53 41.64
2019-Jul-26,07 58 00.21
2019-Jul-27,08 02 18.42
2019-Jul-28,08 06 36.24
2019-Jul-29,08 10 53.65
2019-Jul-30,08 15 10.61
2019-Jul-31,08 19 27.09
2019-Aug-01,08 23 43.06
2019-Aug-02,08 27 58.49
2019-Aug-03,08 32 13.36
2019-Aug-04,08 36 27.64
2019-Aug-05,08 40 41.30
2019-Aug-06,08 44 54.33
2019-Aug-07,08 49 06.69
2019-Aug-08,08 53 18.38
2019-Aug-09,08 57 29.37
2019-Aug-10,09 01 39.66
2019-Aug-11,09 05 49.22
2019-Aug-12,09 09 58.04
2019-Aug-13,09 14 06.12
2019-Aug-14,09 18 13.44
2019-Aug-15,09 22 19.99
2019-Aug-16,09 26 25.77
2019-Aug-17,09 30 30.78
2019-Aug-18,09 34 35.00
2019-Aug-19,09 38 38.43
2019-Aug-20,09 42 41.07
2019-Aug-21,09 46 42.91
2019-Aug-22,09 50 43.96
2019-Aug-23,09 54 44.21
2019-Aug-24,09 58 43.66
2019-Aug-25,10 02 42.32
2019-Aug-26,10 06 40.18
2019-Aug-27,10 10 37.24
2019-Aug-28,10 14 33.51
2019-Aug-29,10 18 28.99
2019-Aug-30,10 22 23.68
2019-Aug-31,10 26 17.58
2019-Sep-01,10 30 10.69
2019-Sep-02,10 34 03.03
2019-Sep-03,10 37 54.58
2019-Sep-04,10 41 45.37
2019-Sep-05,10 45 35.40
2019-Sep-06,10 49 24.67
2019-Sep-07,10 53 13.19
2019-Sep-08,10 57 00.98
2019-Sep-09,11 00 48.04
2019-Sep-10,11 04 34.39
2019-Sep-11,11 08 20.04
2019-Sep-12,11 12 05.00
2019-Sep-13,11 15 49.29
2019-Sep-14,11 19 32.91
2019-Sep-15,11 23 15.88
2019-Sep-16,11 26 58.21
2019-Sep-17,11 30 39.92
2019-Sep-18,11 34 21.03
2019-Sep-19,11 38 01.53
2019-Sep-20,11 41 41.46
2019-Sep-21,11 45 20.82
2019-Sep-22,11 48 59.62
2019-Sep-23,11 52 37.88
2019-Sep-24,11 56 15.61
2019-Sep-25,11 59 52.83
2019-Sep-26,12 03 29.54
2019-Sep-27,12 07 05.76
2019-Sep-28,12 10 41.50
2019-Sep-29,12 14 16.77
2019-Sep-30,12 17 51.57
2019-Oct-01,12 21 25.92
2019-Oct-02,12 24 59.83
2019-Oct-03,12 28 33.31
2019-Oct-04,12 32 06.38
2019-Oct-05,12 35 39.03
2019-Oct-06,12 39 11.29
2019-Oct-07,12 42 43.16
2019-Oct-08,12 46 14.67
2019-Oct-09,12 49 45.81
2019-Oct-10,12 53 16.61
2019-Oct-11,12 56 47.07
2019-Oct-12,13 00 17.21
2019-Oct-13,13 03 47.04
2019-Oct-14,13 07 16.56
2019-Oct-15,13 10 45.80
2019-Oct-16,13 14 14.76
2019-Oct-17,13 17 43.45
2019-Oct-18,13 21 11.89
2019-Oct-19,13 24 40.08
2019-Oct-20,13 28 08.03
2019-Oct-21,13 31 35.75
2019-Oct-22,13 35 03.26
2019-Oct-23,13 38 30.55
2019-Oct-24,13 41 57.64
2019-Oct-25,13 45 24.53
2019-Oct-26,13 48 51.22
2019-Oct-27,13 52 17.72
2019-Oct-28,13 55 44.04
2019-Oct-29,13 59 10.17
2019-Oct-30,14 02 36.12
2019-Oct-31,14 06 01.89
2019-Nov-01,14 09 27.49
2019-Nov-02,14 12 52.91
2019-Nov-03,14 16 18.16
2019-Nov-04,14 19 43.25
2019-Nov-05,14 23 08.17
2019-Nov-06,14 26 32.93
2019-Nov-07,14 29 57.53
2019-Nov-08,14 33 21.98
2019-Nov-09,14 36 46.27
2019-Nov-10,14 40 10.41
2019-Nov-11,14 43 34.41
2019-Nov-12,14 46 58.25
2019-Nov-13,14 50 21.95
2019-Nov-14,14 53 45.50
2019-Nov-15,14 57 08.91
2019-Nov-16,15 00 32.18
2019-Nov-17,15 03 55.30
2019-Nov-18,15 07 18.28
2019-Nov-19,15 10 41.12
2019-Nov-20,15 14 03.81
2019-Nov-21,15 17 26.35
2019-Nov-22,15 20 48.74
2019-Nov-23,15 24 10.97
2019-Nov-24,15 27 33.04
2019-Nov-25,15 30 54.94
2019-Nov-26,15 34 16.67
2019-Nov-27,15 37 38.21
2019-Nov-28,15 40 59.57
2019-Nov-29,15 44 20.73
2019-Nov-30,15 47 41.69
2019-Dec-01,15 51 02.43
2019-Dec-02,15 54 22.96
2019-Dec-03,15 57 43.27
2019-Dec-04,16 01 03.35
2019-Dec-05,16 04 23.19
2019-Dec-06,16 07 42.79
2019-Dec-07,16 11 02.14
2019-Dec-08,16 14 21.23
2019-Dec-09,16 17 40.07
2019-Dec-10,16 20 58.63
2019-Dec-11,16 24 16.92
2019-Dec-12,16 27 34.92
2019-Dec-13,16 30 52.64
2019-Dec-14,16 34 10.07
2019-Dec-15,16 37 27.20
2019-Dec-16,16 40 44.02
2019-Dec-17,16 44 00.53
2019-Dec-18,16 47 16.72
2019-Dec-19,16 50 32.58
2019-Dec-20,16 53 48.11
2019-Dec-21,16 57 03.28
2019-Dec-22,17 00 18.10
2019-Dec-23,17 03 32.56
2019-Dec-24,17 06 46.63
2019-Dec-25,17 10 00.32
2019-Dec-26,17 13 13.61
2019-Dec-27,17 16 26.48
2019-Dec-28,17 19 38.94
2019-Dec-29,17 22 50.97
2019-Dec-30,17 26 02.55
2019-Dec-31,17 29 13.68
2020-Jan-01,17 32 24.35
2020-Jan-02,17 35 34.56
2020-Jan-03,17 38 44.28
2020-Jan-04,17 41 53.53
2020-Jan-05,17 45 02.28
2020-Jan-06,17 48 10.52
2020-Jan-07,17 51 18.27
2020-Jan-08,17 54 25.50
2020-Jan-09,17 57 32.21
2020-Jan-10,18 00 38.39
2020-Jan-11,18 03 44.05
2020-Jan-12,18 06 49.17
2020-Jan-13,18 09 53.76
2020-Jan-14,18 12 57.79
2020-Jan-15,18 16 01.28
2020-Jan-16,18 19 04.22
2020-Jan-17,18 22 06.60
2020-Jan-18,18 25 08.40
2020-Jan-19,18 28 09.64
2020-Jan-20,18 31 10.29
2020-Jan-21,18 34 10.36
2020-Jan-22,18 37 09.83
2020-Jan-23,18 40 08.70
2020-Jan-24,18 43 06.96
2020-Jan-25,18 46 04.60
2020-Jan-26,18 49 01.62
2020-Jan-27,18 51 58.01
2020-Jan-28,18 54 53.78
2020-Jan-29,18 57 48.90
2020-Jan-30,19 00 43.38
2020-Jan-31,19 03 37.22
2020-Feb-01,19 06 30.41
2020-Feb-02,19 09 22.95
2020-Feb-03,19 12 14.83
2020-Feb-04,19 15 06.06
2020-Feb-05,19 17 56.63
2020-Feb-06,19 20 46.55
2020-Feb-07,19 23 35.81
2020-Feb-08,19 26 24.41
2020-Feb-09,19 29 12.36
2020-Feb-10,19 31 59.65
2020-Feb-11,19 34 46.30
2020-Feb-12,19 37 32.29
2020-Feb-13,19 40 17.63
2020-Feb-14,19 43 02.32
2020-Feb-15,19 45 46.36
2020-Feb-16,19 48 29.75
2020-Feb-17,19 51 12.49
2020-Feb-18,19 53 54.58
2020-Feb-19,19 56 36.01
2020-Feb-20,19 59 16.78
2020-Feb-21,20 01 56.90
2020-Feb-22,20 04 36.36
2020-Feb-23,20 07 15.16
2020-Feb-24,20 09 53.30
2020-Feb-25,20 12 30.79
2020-Feb-26,20 15 07.61
2020-Feb-27,20 17 43.78
2020-Feb-28,20 20 19.30
2020-Feb-29,20 22 54.16
2020-Mar-01,20 25 28.36
2020-Mar-02,20 28 01.92
2020-Mar-03,20 30 34.83
2020-Mar-04,20 33 07.10
2020-Mar-05,20 35 38.73
2020-Mar-06,20 38 09.72
2020-Mar-07,20 40 40.08
2020-Mar-08,20 43 09.82
2020-Mar-09,20 45 38.94
2020-Mar-10,20 48 07.45
2020-Mar-11,20 50 35.35
2020-Mar-12,20 53 02.65
2020-Mar-13,20 55 29.34
2020-Mar-14,20 57 55.45
2020-Mar-15,21 00 20.96
2020-Mar-16,21 02 45.89
2020-Mar-17,21 05 10.23
2020-Mar-18,21 07 33.98
2020-Mar-19,21 09 57.15
2020-Mar-20,21 12 19.74
2020-Mar-21,21 14 41.76
2020-Mar-22,21 17 03.20
2020-Mar-23,21 19 24.06
2020-Mar-24,21 21 44.35
2020-Mar-25,21 24 04.08
2020-Mar-26,21 26 23.24
2020-Mar-27,21 28 41.84
2020-Mar-28,21 30 59.88
2020-Mar-29,21 33 17.36
2020-Mar-30,21 35 34.29
2020-Mar-31,21 37 50.68
2020-Apr-01,21 40 06.52
2020-Apr-02,21 42 21.83
2020-Apr-03,21 44 36.61
2020-Apr-04,21 46 50.86
2020-Apr-05,21 49 04.60
2020-Apr-06,21 51 17.82
2020-Apr-07,21 53 30.54
2020-Apr-08,21 55 42.76
2020-Apr-09,21 57 54.49
2020-Apr-10,22 00 05.74
2020-Apr-11,22 02 16.50
2020-Apr-12,22 04 26.79
2020-Apr-13,22 06 36.60
2020-Apr-14,22 08 45.94
2020-Apr-15,22 10 54.82
2020-Apr-16,22 13 03.23
2020-Apr-17,22 15 11.17
2020-Apr-18,22 17 18.65
2020-Apr-19,22 19 25.67
2020-Apr-20,22 21 32.24
2020-Apr-21,22 23 38.35
2020-Apr-22,22 25 44.00
2020-Apr-23,22 27 49.20
2020-Apr-24,22 29 53.96
2020-Apr-25,22 31 58.27
2020-Apr-26,22 34 02.13
2020-Apr-27,22 36 05.55
2020-Apr-28,22 38 08.54
2020-Apr-29,22 40 11.09
2020-Apr-30,22 42 13.22
2020-May-01,22 44 14.92
2020-May-02,22 46 16.20
2020-May-03,22 48 17.06
2020-May-04,22 50 17.52
2020-May-05,22 52 17.57
2020-May-06,22 54 17.23
2020-May-07,22 56 16.49
2020-May-08,22 58 15.36
2020-May-09,23 00 13.86
2020-May-10,23 02 11.97
2020-May-11,23 04 09.70
2020-May-12,23 06 07.05
2020-May-13,23 08 04.02
2020-May-14,23 10 00.62
2020-May-15,23 11 56.84
2020-May-16,23 13 52.68
2020-May-17,23 15 48.15
2020-May-18,23 17 43.23
